Line [lineName=null, startingStation=Station [stationName=Тетово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Делогожди, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=14:00:00, arrivalTime=16:45:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Кичево, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Струга, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=15:35:00, arrivalTime=16:30:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Кичево, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Делогожди, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=15:35:00, arrivalTime=16:45:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Струга, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Делогожди, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=16:30:00, arrivalTime=16:45:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:10:00, arrivalTime=14:19:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:10:00, arrivalTime=14:23:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:10:00, arrivalTime=14:27:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Пробиштип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Штип, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:10:00, arrivalTime=14:50:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Лезово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:19:00, arrivalTime=14:23:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Бучиште, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Пишица, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ФИЛЕ ТУРС, regularityType=EVERYDAY, departureTime=14:19:00, arrivalTime=14:27:00, price=0]]------------------------------------------
